key,en,ko,enScript,koScript,cn,cnScript
NA001,Cloth armor,천옷,,,布衣,
NA002,leather armor,가죽 갑옷,,,皮甲,
NA003,Recruit robe,훈련병 로브,,,见习盔甲,
NS001,Novice staff,초심자의 지팡이,,,初学者手杖,
NS002,Wooden staff,등산 지팡이,,,木棍,
NS003,Red stone staff,눈깔사탕 지팡이,,,糖果手杖,
NS004,Horn staff,뿔 지팡이,,,鹿角手杖,
NW001,Short sword,단검,,,短刀,
NW002,Long sword,장검,,,长剑,
NW003,Nameless sword,이름 없는 검,,,无名剑,
NW004,Desert mercenary sword,사막 용병의 검,,,沙漠佣兵剑,
BA001,Babarian armor,야만전사 갑옷,,,战士盔甲,
BA002,Green armor,녹조 갑옷,,,绿甲,
BA003,Steel armor,철제 갑옷,,,铁甲,
BA004,Darkness armor,어두운 갑옷,,,黑甲,
BA005,Blue horn armor,파란 뿔 갑옷,,,蓝色角盔甲,
BA006,Blue plate armor,파란 갑주,,,蓝色盔甲,
BJ001,White pearl pendant,진주 목걸이,,,珍珠项链,
BJ002,Violet pendant,보라색 목걸이,,,紫色项链,
BJ003,Red skull pendant,붉은 해골 목걸이,,,红色骷髅项链,
BR001,Field robe,야전 로브,,,野战长袍,
BR002,Magicain uniform,마탑 교복,,,魔法学校服,
BS001,Old tree staff,고목나무 지팡이,,,老树手杖,
BS002,Soul magic staff,영혼마령봉,,,灵魂魔杖,
BS003,Sorcerer staff,주술이 깃든 지팡이,,,巫术魔杖,
BS004,Elder staff,딱총나무 지팡이,,,长老的法杖,
BW001,Brass sword,황동검,,,黄铜剑,
BW002,Blue team sword,청군 무기,,,友军武器,
BW003,Red brown sword,황건당의 검,,,红黄剑,
BW004,Saw sword,톱날검,,,锯条剑,
BW005,Chakram sword,차크람 소드,,,轮剑,
BW006,Rune sword,룬 소드,,,符文剑,
GA001,Red cloth,훈령병 갑옷,,,红色铠甲,
GA002,Magical armor,마력이 깃든 갑옷,,,魔法铠甲,
GA003,Oriental armor,명나라 사신복,,,古代盔甲,
GA004,Green scale armor,녹조로 물든 갑옷,,,绿色皮甲,
GA005,Two eyes armor,두개의 눈 갑옷,,,两眼铠甲,
GA006,Cultured robe,예의상 입는 교복,,,制服,
GA007,For travel robe,여행용 로브,,,旅行毛衣,
GA008,Leader robe,단장의 로브,,,队长的盔甲,
GJ001,Beast tooth,야수의 이빨,,,野兽的牙齿,
GJ002,Silver golden earing,은 금 귀걸이,,,金银项链,
GJ003,Houu Feather,호우호우의 깃털,,,鸟羽毛,
GJ004,Ruby ring,루비 반지,,,红宝石戒指,
GJ005,Cat eye pendant,고양이 눈 팬던트,,,猫眼项链,
GS001,Red ball staff,빨간 구슬 지팡이,,,红珠魔杖,
GS002,Nether staff,네더 지팡이,,,深渊法杖,
GS003,Cursed staff,저주받은 지팡이,,,诅咒法杖,
GS004,Angelic staff,천사의 지팡이,,,天使的魔杖,
GS005,Devils staff,악마의 지팡이,,,恶魔之杖,
GW001,Broken sword,깨진 검,,,断剑,
GW002,Red string sword,홍군 무기,,,红剑,
GW003,S sword,S 검,,,蛇剑,
GW004,Angel sword,천사의 검,,,天使剑,
GW005,Tempest ,폭풍함,,,风暴线,
R001,Chipped AP rune,최하급 주문력 룬,,,最低等级的魔力符文石,
R002,Chipped AD rune,최하급 공격력 룬,,,最低攻击力符文石,
R003,Chipped DEF rune,최하급 방어력 룬,,,最低等级防御符文石,
R004,Chipped MR rune,최하급 마법 방어력 룬,,,最低等级魔法防御符文石,
R005,Flawed AP rune,하급 주문력 룬,,,魔法攻击力较低符文石,
R006,Flawed AD rune,하급 공격력 룬,,,攻击力较小符文石,
R007,Flawed DEF rune,하급 방어력 룬,,,轻微防御力符文石,
R008,Flawed MR rune,하급 마법 방어력 룬,,,初级魔法防御力符文石,
R009,AP rune,주문력 룬,,,魔力符文石,
R010,AD rune,공격력 룬,,,进攻力符文石,
R011,DEF rune,방어력 룬,,,防御力符文石,
R012,MR rune,마법 방어력 룬,,,魔法防御力符文石,
R013,ACC rune,명중률 룬,,,准确性符文石,
R014,Flawless AP rune,상급 주문력 룬,,,高级魔力符文石,
R015,Flawless AD rune,상급 공격력 룬,,,高级攻击力符文石,
R016,Flawless DEF rune,상급 방어력 룬,,,高级防御力符文石,
R017,Flawless MR rune,상급 마법 방어력 룬,,,高级魔法防御石,
R018,Flawless ACC rune,상급 명중률 룬,,,高级精准之符文石,
R019,Perfect AP rune,최상급 주문력 룬,,,最高等级魔力之符文石,
R020,Perfect AD rune,최상급 공격력 룬,,,攻击力最高的符文石头,
R021,Perfect DEF rune,최상급 방어력 룬,,,最高防御力的符文石头,
R022,Perfect MR rune,최상급 마법 방어력 룬,,,最高等级魔法防御符文石,
R023,Perfect ACC rune,최상급 명중률 룬,,,最高精度的符文石,
SA001,Cloth armor,천 갑옷,,,布甲,
SA002,Battle vest,전투 조끼,,,战斗背心,
SA003,Purple armor,보라색 갑주,,,紫色铠甲,
SA004,Good armor,좋은 갑옷,,,好盔甲,
SA005,Novice robe,견습 로브,,,初学者盔甲,
SA006,Brown gold robe,황토색 로브,,,棕色长袍,
SA007,Jewelry robe,영롱한 로브,,,辉煌长袍,
SJ001,Bronze earring,브론즈 귀걸이,,,青铜耳环,
SJ002,Silver earring,은 귀걸이,,,银耳环,
SJ003,Gold armlet,금팔찌,,,金手镯,
SS001,Hiking stick,등산 지팡이,,,登山杖,
SS002,Cradle staff,실뜨기 지팡이,,,布手杖,
SS003,Sapphire staff,사피이어 지팡이,,,蓝宝石魔杖,
SS004,Cockscomb staff,닭 벼슬 지팡이,,,鸡冠手杖,
SS005,Super expensive staff,완전 비싼 지팡이,,,最好的手杖,
SW001,Lightning wooden sword,뢰진도,,,雷木剑,
SW002,Black big sword,현철대검,,,黑铁巨剑,
SW003,Skull sword,해골검,,,骷髅剑,
SW004,Master sword,장인의 검,,,工匠之剑,
SW005,Super expensive sword,완전 비싼 검,,,顶级品质剑,
TA001,Made in rome,로마 갑옷,,,罗马盔甲,
TA002,Civil militia armor,자경단 유니폼,,,治安维持者制服,
TA003,Blue horn armor,파란 뿔 갑옷,,,蓝色角盔甲,
TA004,Mercury armor,수은 갑옷,,,水银铠甲,
TA005,Great armor,멋진 갑옷,,,体面的盔甲,
TA006,Cultured robe,예의상 입는 교복,,,校服,
TA007,Executive robe,간부 로브,,,中长袍,
TA008,Chairman robe,협회장 로브,,,船长长袍,
TJ001,Indian earring,인디언 귀걸이,,,部落耳环,
TJ002,Ruby ring,루비 반지,,,红宝石戒指,
TJ003,Champion belt,챔피온 벨트,,,冠军腰带,
TJ004,Gold emerald pendant,골드 에메랄드 팬던트,,,金祖母绿吊坠,
TJ005,Black feather earring,검은 깃털 귀걸이,,,黑色羽毛吊坠,
TJ006,Light rose pendant,신비한 목걸이,,,神秘项链,
TS001,Magic staff,마법 지팡이,,,魔法棒,
TS002,Kurta eye staff,쿠르타의 눈,,,库尔塔之眼,
TS003,Space power staff,우주류 지팡이,,,充满宇宙的魔杖,
TS004,Topaz staff,토파즈 지팡이,,,黄玉魔杖棒,
TS005,Unstoppable force,멈출 수 없는 힘,,,最强大的力量,
TW001,Screw sword,스크류 바,,,螺旋钢剑,
TW002,Green sword,녹색 검,,,绿钢剑,
TW003,Redbull sword,레드불 검,,,红牛角剑,
TW004,Bloody sword,피를먹는 마검,,,吸收血液的剑,
PAD001,Minor AD boost potion,하급 공격력 증가 포션,Attack damage {ad} plus,공격력 {ad} 증가,小型攻击力增加药水,攻击力{ad}增加
PAD002,AD boost potion,중급 공격력 증가 포션,Attack damage {ad} plus,공격력 {ad} 증가,中级攻击力增加药水,攻击力{ad}增加
PAD003,Super AD boost potion,상급 공격력 증가 포션,Attack damage {ad} plus,공격력 {ad} 증가,高级攻击力增加药水,攻击力{ad}增加
PAP001,Minor AP boost potion,하급 주문력 증가 포션,Ability power {ap} plus,주문력 {ap} 증가,小型魔力增幅药水,魔力{ap}增加
PAP002,AP boost potion,중급 주문력 증가 포션,Ability power {ap} plus,주문력 {ap} 증가,中级魔力增幅药水,魔力{ap}增加
PAP003,Super AP boost potion,상급 주문력 증가 포션,Ability power {ap} plus,주문력 {ap} 증가,高级魔力增幅药水,魔力{ap}增加
PD001,Minor DEF boost potion,하급 방어력 증가 포션,Defense {def} plus,방어력 {def} 증가,小型防御力增加药水,防御力{def}增加
PD002,DEF boost potion,중급 방어력 증가 포션,Defense {def} plus,방어력 {def} 증가,中级防御力增加药水,防御力{def}增加
PD003,Super DEF boost potion,상급 방어력 증가 포션,Defense {def} plus,방어력 {def} 증가,高级防御力增加药水,防御力{def}增加
PH001,Minor healing potion,하급 회복 포션,Heal point {hp} %,체력 {hp} % 회복,小型恢复药水,体力恢复{hp}%
PH002,Healing potion,중급 회복 포션,Heal point {hp} %,체력 {hp} % 회복,中级恢复药水,体力恢复{hp}%
PH003,Super healing potion,상급 회복 포션,Heal point {hp} %,체력 {hp} % 회복,高级恢复药水,体力恢复{hp}%
PMR001,Minor MR boost potion,하급 마법 저항력 증가 포션,Magic resistance {mr} plus,마법 저항력 {mr} 증가,初级魔法防御药水,魔法防御力{mr}增加
PMR002,MR boost potion,중급 마법 저항력 증가 포션,Magic resistance {mr} plus,마법 저항력 {mr} 증가,中级魔法防御药水,魔法防御力{mr}增加
PMR003,Super MR boost potion,상급 마법 저항력 증가 포션,Magic resistance {mr} plus,마법 저항력 {mr} 증가,高级魔法防御药水,魔法防御力{mr}增加
PP001,Power point recovery,기술 회복 포션,Skill point full charge,스킬 사용 회수 전부 충전,技能恢复药水,给所有技能使用次数充值
PR001,Resurrection potion,국가 권력급 회복 포션,Resurrection,죽은 캐릭터를 부활시킨다,人物复活药水,复活一个死去的角色
