key,en,ko,cn
GlopSlime,Melon slime,메론 슬라임,甜瓜史莱姆
EvilSlime,Grape slime,포도 슬라임,葡萄史莱姆
BaseSlime,Blueberry slime,블루베리 슬라임,蓝莓史莱姆
BirdSlime,Mango slime,망고 슬라임,芒果史莱姆
PureSlime,Peach slime,복숭아 슬라임,桃子史莱姆
BossTutorial,Fruitree golem,과일 지킴이,水果守护者
Bat,Bat,박쥐,蝙蝠
GreenBat,Green bat,외눈 녹색 박쥐,绿蝙蝠
EvilOx,Cave ox,동굴 물소,洞穴水牛
CrescentShadow,Crescent Shadow,참격 도깨비,斩妖精
MaceShadow,Mace Shadow,철퇴 도깨비,铁球妖精
BossCave,Crystal golem,크리스탈 골렘,水晶怪物
FireRabiit,Rad rabbit,빨간 토끼,红兔
MagmaCrap,Magma crap,불 게,熔岩蟹
MagmaTurtle,Magma turtle,불 거북이,熔岩龟
FireFox,Fire fox,불여우,火狐
FireGolem,Fire golem,불 골렘,火怪物
BossFire,Fire dragon,불 용,火龙
ArmoredOrc,Armored orc,무장 오크,装甲兽人
Flower,Modapi,모다피,莫达菲
GrassRabbit,Grass rabbit,풀토끼,草兔
TreeBlock,Tree block,나무 자란 골렘,木傀儡
WarriorOrc,Warrior orc,오크 전사,兽人战士
BossForest,Two headed orc,트윈 헤드 오크,双头兽人
FloatingIce,Ice Floating,얼음 둥둥,浮冰
SnowFox,Snow fox,북극 여우,白狐
SnowLizard,Snow lizard,겨울 도마뱀,冬季蜥蜴
SnowRabbit,Snow rabbit,눈토끼,雪兔
SnowTurtle,Snow turtle,얼음 거북,冰龟
BossSnow,Yeti,예티,雪人
FinalBoss,Chaos ghost,혼돈의 유령,混沌之魂
