key,en,ko,cn,enScript,koScript,enBookScript,koBookScript,enBuffScript,koBuffScript,cnScript,cnBookScript,cnBuffScript
LV1BF001,DEF UP,방어력 증가,防御力增加,+100 Defense,방어력이 100 증가한다,,,+100 Defense,방어력이 100 증가한다,防御力增加 100,防御力增加 100,防御力增加 100
LV1BF002,MR UP,마법 저항력 증가,魔法防御力增加,+100 Magic resistance,마법 저항력이 100 증가한다,,,+100 Magic resistance,마법 저항력이 100 증가한다,魔法防御力增加 100,魔法防御力增加 100,魔法防御力增加 100
LV1BF003,SPD UP,속도 증가,增速,+15 Speed,속도가 15 증가한다.,,,+15 Speed,속도가 15 증가한다.,增速 15,增速 15,增速 15
LV1BF004,AD UP,공격력 증가,攻击力增加,+100 Attack damage,공격력이 100 증가 한다,,,+100 Attack damage,공격력이 100 증가 한다,攻击力增加 100,攻击力增加 100,攻击力增加 100
LV1BF005,AP UP,주문력 증가,魔力增加,+100 Ability power ,주문력이 100 증가한다,,,+100 Ability power ,주문력이 100 증가한다,魔力增加 100,魔力增加 100,魔力增加 100
LV2BF001,AD UP,공격력 증가,攻击力增加,+150 Attack damage,공격력이 150 증가 한다,,,+150 Attack damage,공격력이 150 증가 한다,攻击力增加 150,攻击力增加 150,攻击力增加 150
LV2BF002,AP UP,주문력 증가,魔力增加,+150 Ability power ,주문력이 150 증가한다,,,+150 Ability power ,주문력이 150 증가한다,魔力增加 150,魔力增加 150,魔力增加 150
LV2BF003,DEF UP,방어력 증가,防御力增加,+150 Defense,방어력이 150 증가한다,,,+150 Defense,방어력이 150 증가한다,防御力增加 150,防御力增加 150,防御力增加 150
LV2BF004,MR UP,마법 저항력 증가,魔法防御力增加,+150 Magic resistance,마법 저항력이 150 증가한다,,,+150 Magic resistance,마법 저항력이 150 증가한다,魔法防御力增加 150,魔法防御力增加 150,魔法防御力增加 150
LV2BF005,SPD UP,속도 증가,增速,+25 Speed,속도가 25 증가한다.,,,+25 Speed,속도가 25 증가한다.,增速 25,增速 25,增速 25
LV3BF001,ACC UP,명중률 증가,确度提高准,+15 Accuracy,명중률이 15 증가한다,,,+15 Accuracy,명중률이 15 증가한다,确度提高准 15,确度提高准 15,确度提高准 15
LV3BF002,AD UP,공격력 증가,攻击力增加,+200 Attack damage,공격력이 200 증가 한다,,,+200 Attack damage,공격력이 200 증가 한다,攻击力增加 200,攻击力增加 200,攻击力增加 200
LV3BF003,AP UP,주문력 증가,魔力增加,+200 Ability power ,주문력이 200 증가한다,,,+200 Ability power ,주문력이 200 증가한다,魔力增加 200,魔力增加 200,魔力增加 200
LV3BF004,DEF UP,방어력 증가,防御力增加,+200 Defense,방어력이 200 증가한다,,,+200 Defense,방어력이 200 증가한다,防御力增加 200,防御力增加 200,防御力增加 200
